Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
03-01-2024,462,477,458.1,468,1.23,"25,567.00","1,19,81,235.00",0.0752
04-01-2024,468,472,457.1,470,0.43,"39,911.00","1,85,07,617.60",0.0752
07-01-2024,479,479,453,455,-3.19,"37,213.00","1,71,18,022.60",0.0752
08-01-2024,463,479,453.1,470,3.3,"24,747.00","1,15,26,780.70",0.0752
09-01-2024,473.3,483.4,471,480,2.13,"46,965.00","2,24,25,556.00",0.0752
10-01-2024,489.2,508.8,470,475,-1.04,"36,278.00","1,73,90,489.10",0.0752
11-01-2024,476.1,476.1,464.6,465.2,-2.06,"17,837.00","83,37,351.60",0.0752
14-01-2024,459,474,459,467.1,0.41,"20,850.00","97,46,915.90",0.0752
16-01-2024,466,478,463,475,1.69,"21,702.00","1,02,77,609.30",0.0752
17-01-2024,475,484.5,465.7,468,-1.47,"52,333.00","2,48,98,962.40",0.0752
