Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
1/10/2023,537.1,537.7,530,533.5,-2.02,"17,303.00","92,15,395.00",0.0752
2/10/2023,525,542.9,524,539.4,1.11,"18,948.00","1,00,96,716.10",0.0752
3/10/2023,535,540,531,532,-1.37,"15,132.00","80,50,288.50",0.0752
4/10/2023,528,543,528,539,1.32,"6,695.00","35,84,799.80",0.0752
5/10/2023,535,536,530.1,530.3,-1.61,"27,690.00","1,47,47,146.00",0.0752
8/10/2023,528.9,528.9,515,518.9,-2.15,"19,025.00","99,05,199.60",0.0752
9/10/2023,520,525,507,514.8,-0.79,"18,814.00","96,29,676.70",0.0752
10/10/2023,514.8,517.9,500.3,508,-1.32,"19,313.00","97,90,589.90",0.0752
11/10/2023,500,512,498,510.9,0.57,"20,094.00","1,01,40,937.60",0.0752
12/10/2023,505.7,507.9,500.7,504.9,-1.17,"13,946.00","70,04,483.90",0.0752
16-10-2023,498,509,491,491.9,-2.57,"15,405.00","76,29,593.50",0.0752
17-10-2023,490,509.7,490,498,1.24,"10,296.00","51,60,839.20",0.0752
18-10-2023,506.9,517,491,517,3.82,"19,289.00","98,45,156.70",0.0752
19-10-2023,510,516,505,505,-2.32,"5,618.00","28,57,686.00",0.0752
29-10-2023,504,504,490,496,-1.78,"7,162.00","35,32,247.30",0.0752
30-10-2023,486.3,499.9,482,499.8,0.77,"4,293.00","21,01,865.30",0.0752
31-10-2023,490,498,479.3,480,-3.96,"35,212.00","1,70,11,487.90",0.0752
1/11/2023,472,487,472,481,0.21,"15,338.00","73,46,498.90",0.0752
2/11/2023,481,481,469,477,-0.83,"32,374.00","1,53,45,200.00",0.0752
5/11/2023,476,476,460,468,-1.89,"7,426.00","34,53,122.50",0.0752
6/11/2023,468,480,468,477,1.92,"3,214.00","15,23,179.60",0.0752
7/11/2023,468,485,468,480,0.63,"12,041.00","57,82,265.80",0.0752
8/11/2023,470.4,480,470.4,477,-0.63,"5,714.00","27,09,924.20",0.0752
9/11/2023,470,479.6,465,468,-1.89,"6,263.00","29,34,406.20",0.0752
20-11-2023,470,476.4,468,474,1.28,"9,409.00","44,24,809.80",0.0752
21-11-2023,483.4,483.4,466.1,469.9,-0.86,"9,082.00","42,51,714.20",0.0752
22-11-2023,465,475.9,465,475.8,1.26,"10,236.00","48,11,276.60",0.0752
23-11-2023,467,498,467,496,4.25,"15,648.00","76,13,603.10",0.0752
26-11-2023,490,518,490,517,4.23,"33,278.00","1,70,24,805.30",0.0752
27-11-2023,527.3,527.3,506.6,514,-0.58,"17,858.00","91,69,673.10",0.0752
28-11-2023,517.9,517.9,497.6,506.7,-1.42,"31,690.00","1,58,78,603.50",0.0752
29-11-2023,502,512,494,496.4,-2.03,"13,150.00","65,62,329.40",0.0752
30-11-2023,492,496.9,487,495,-0.28,"11,765.00","57,68,555.00",0.0752
3/12/2023,490,495,485.1,495,0,"9,740.00","47,55,518.90",0.0752
4/12/2023,495,504,488,499,0.81,"16,130.00","80,45,922.70",0.0752
5/12/2023,490,507.9,486.7,492,-1.4,"23,778.00","1,17,63,171.60",0.0752
6/12/2023,493,498,487.2,496,0.81,"13,854.00","68,22,627.60",0.0752
7/12/2023,487.1,511,487.1,507,2.22,"28,712.00","1,44,89,560.20",0.0752
10/12/2023,517.1,547,517.1,542,6.9,"6,573.00","35,43,184.30",0.0752
11/12/2023,550,550,520,542,0,"1,12,438.00","5,97,62,382.60",0.0752
12/12/2023,552,552.8,532.2,545,0.55,"80,529.00","4,40,52,469.40",0.0752
13-12-2023,555.9,555.9,531.5,535,-1.83,"44,435.00","2,40,53,895.70",0.0752
14-12-2023,526,534.5,523.1,529,-1.12,"40,145.00","2,11,88,968.80",0.0752
17-12-2023,518.5,527,502.1,527,-0.38,"52,501.00","2,73,60,132.80",0.0752
18-12-2023,537.5,579.7,525,579.7,10,"1,11,286.00","5,97,21,042.30",0.0752
19-12-2023,568.2,575,540,573,-1.16,"1,47,141.00","8,21,26,464.00",0.0752
20-12-2023,577,626.4,567,626.4,5.24,"1,48,885.00","8,74,45,390.40",0.0752
21-12-2023,613.9,637,576,579.8,-7.44,"1,42,338.00","8,35,34,318.20",0.0752
24-12-2023,579.8,637.7,561.3,637.7,9.99,"1,55,555.00","8,94,82,022.10",0.0752
27-12-2023,625,625,574,575.1,-9.82,"2,86,863.00","16,70,88,811.20",0.0752
28-12-2023,586.6,586.6,558.7,561,-2.45,"1,02,314.00","5,77,93,700.60",0.0752
1/1/2024,561,573.2,547,550.2,-1.93,"91,022.00","5,06,80,517.50",0.0752
2/1/2024,550,550,532,533,-3.13,"57,502.00","3,08,89,736.30",0.0752
3/1/2024,534.1,542,526.4,539,1.13,"60,172.00","3,21,54,335.90",0.0752
4/1/2024,548,549,533.1,533.1,-1.09,"73,879.00","4,00,58,431.30",0.0752
7/1/2024,535,536.5,507.1,515,-3.4,"57,286.00","2,98,07,840.50",0.0752
8/1/2024,525,549.9,522,545.3,5.88,"66,346.00","3,56,19,880.30",0.0752
9/1/2024,555.5,565.9,551.2,553,1.41,"71,636.00","4,00,39,371.60",0.0752
10/1/2024,563,564,542,547,-1.08,"47,559.00","2,63,10,268.00",0.0752
11/1/2024,548,552,534.2,537,-1.83,"26,085.00","1,40,60,233.10",0.0752
14-01-2024,547.7,547.7,533,540,0.56,"43,604.00","2,34,65,003.00",0.0752
16-01-2024,542.6,550.8,542,549,1.67,"31,479.00","1,72,35,607.40",0.0752
17-01-2024,552,558,535.1,535.2,-2.51,"46,671.00","2,55,61,087.00",0.0752
1/18/2024,525.1,536,525.1,529,-1.16,"64,462.00","34,152,050.50",0.0752
1/21/2024,539.4,539.4,522.3,523,-1.13,"43,937.00","23,206,889.50",0.0752
1/22/2024,533.4,537,519,523,0,"43,481.00","22,811,799.50",0.0752
1/23/2024,532.8,532.8,519,521,-0.38,"28,387.00","14,813,442.50",0.0752
1/24/2024,527,528.8,518,520,-0.19,"22,179.00","11,557,789.70",0.0752
1/25/2024,526,526,508,512,-1.54,"37,182.00","19,103,387.80",0.0752
1/28/2024,520,522,510,519,1.37,"24,914.00","12,856,154.80",0.0752
1/29/2024,525,526,518,520,0.19,"33,728.00","17,554,360.00",0.0752
1/30/2024,524.5,532,521,525,0.96,"40,069.00","21,058,728.70",0.0752
1/31/2024,534,535,511,514,-2.1,"31,156.00","16,331,723.60",0.0752
2/1/2024,510,520,510,510.1,-0.76,"21,625.00","11,071,995.90",0.0752
2/4/2024,504,512,500,501.3,-1.73,"36,504.00","18,400,302.70",0.0752
2/5/2024,511,520.9,510,512.9,2.31,"29,335.00","15,032,644.50",0.0752
2/6/2024,515,522.2,514,517,0.8,"15,945.00","8,261,948.80",0.0752
2/7/2024,524.9,524.9,517,521.3,0.83,"14,897.00","7,776,452.90",0.0752
2/8/2024,518,529.9,515.3,523,0.33,"21,432.00","11,189,558.40",0.0752
2/11/2024,524,534.7,521,529,1.15,"61,553.00","32,445,415.70",0.0752
2/12/2024,525,530.9,519.9,530,0.19,"42,014.00","22,008,439.10",0.0752
2/13/2024,519.4,528.9,506.1,508.2,-4.11,"55,723.00","28,560,576.60",0.0752
2/14/2024,505,517.9,500.2,510,0.35,"30,699.00","15,674,431.30",0.0752
2/15/2024,504.3,517.9,504.3,508.5,-0.29,"17,391.00","8,862,771.30",0.0752
2/18/2024,518.5,518.5,502,502.9,-1.1,"23,102.00","11,654,034.10",0.0752
2/20/2024,510,510,500,505,0.42,"25,791.00","12,966,596.60",0.0752
2/21/2024,507,507,499,501,-0.79,"25,569.00","12,827,495.70",0.0752
2/22/2024,510.9,510.9,491.2,491.2,-1.96,"19,675.00","9,767,478.10",0.0752
